library name,text,rodata,data,bss,code,flash,ram
lib\libhal.a,23402,2237,873,2385,25639,26512,3258
lib\libkernel.a,14408,492,28,93002,14900,14928,93030
lib\libaudio.a,27614,738,624,41486,28352,28976,42110
lib\libdriver.a,57846,2801,1001,9835,60647,61648,10836
lib\libdriver_core_V2.a,4722,9,0,28,4731,4731,28
lib\modem_lte_lib.a,991994,218960,22610,448737,1210954,1233564,471347
lib\libvsi_amrwb.a,76476,26050,23072,0,102526,125598,23072
..\..\components\newlib\newlib-3.1.0\armca5\libc.a,46568,3098,1534,47,49666,51200,1581
..\..\components\ql-kernel\libs\liboql_api_audio.a,10926,2389,52,164,13315,13367,216
..\..\components\ql-kernel\libs\liboql_api_power.a,4450,919,56,41,5369,5425,97
..\..\components\ql-kernel\libs\liboql_hd_gnss.a,1526,379,8,0,1905,1913,8
..\..\components\ql-kernel\libs\libq_modem.a,520,109,0,0,629,629,0
..\..\components\ql-kernel\libs\libql_api_adc.a,400,45,2,0,445,447,2
..\..\components\ql-kernel\libs\libql_api_camera.a,2900,549,0,28,3449,3449,28
..\..\components\ql-kernel\libs\libql_api_common.a,682,114,1,113,796,797,114
..\..\components\ql-kernel\libs\libql_api_datacall.a,16060,3454,182,1666,19514,19696,1848
..\..\components\ql-kernel\libs\libql_api_dev.a,2152,458,11,4,2610,2621,15
..\..\components\ql-kernel\libs\libql_api_fota.a,3528,1059,2,0,4587,4589,2
..\..\components\ql-kernel\libs\libql_api_fs.a,10756,2008,200,24,12764,12964,224
..\..\components\ql-kernel\libs\libql_api_ftp.a,7616,748,12,0,8364,8376,12
..\..\components\ql-kernel\libs\libql_api_gpio.a,3564,383,0,384,3947,3947,384
..\..\components\ql-kernel\libs\libql_api_http.a,2828,210,0,4,3038,3038,4
..\..\components\ql-kernel\libs\libql_api_i2c.a,1472,109,36,0,1581,1617,36
..\..\components\ql-kernel\libs\libql_api_keypad.a,456,100,36,0,556,592,36
..\..\components\ql-kernel\libs\libql_api_lcd.a,4880,325,5,14,5205,5210,19
..\..\components\ql-kernel\libs\libql_api_mqtt.a,3584,283,0,24,3867,3867,24
..\..\components\ql-kernel\libs\libql_api_nvitem.a,1232,292,0,0,1524,1524,0
..\..\components\ql-kernel\libs\libql_api_nw.a,24878,8742,595,2366,33620,34215,2961
..\..\components\ql-kernel\libs\libql_api_osi.a,7536,997,12,56,8533,8545,68
..\..\components\ql-kernel\libs\libql_api_pwm.a,756,118,192,5,874,1066,197
..\..\components\ql-kernel\libs\libql_api_rtc.a,1552,311,76,28,1863,1939,104
..\..\components\ql-kernel\libs\libql_api_sim.a,7090,1381,74,24,8471,8545,98
..\..\components\ql-kernel\libs\libql_api_sms.a,9840,1177,8,24,11017,11025,32
..\..\components\ql-kernel\libs\libql_api_spi.a,3518,532,0,96,4050,4050,96
..\..\components\ql-kernel\libs\libql_api_spi6_ext_nor_flash.a,108,16,0,0,124,124,0
..\..\components\ql-kernel\libs\libql_api_spi_flash.a,280,76,0,20,356,356,20
..\..\components\ql-kernel\libs\libql_api_spi_nand_flash.a,1796,188,32,0,1984,2016,32
..\..\components\ql-kernel\libs\libql_api_spi_nor_flash.a,2442,277,8,13,2719,2727,21
..\..\components\ql-kernel\libs\libql_api_uart.a,5868,1415,96,276,7283,7379,372
..\..\components\ql-kernel\libs\libql_api_usb.a,2014,534,60,65,2548,2608,125
..\..\components\ql-kernel\libs\libql_api_virt_at.a,1332,256,0,44,1588,1588,44
..\..\components\ql-kernel\libs\libql_api_voice_call.a,4666,207,80,0,4873,4953,80
..\..\components\ql-kernel\libs\libql_api_volte.a,1692,370,24,6,2062,2086,30
..\..\components\ql-kernel\libs\libql_api_wifiscan.a,3942,900,56,8,4842,4898,64
..\..\components\ql-kernel\libs\libql_apptcpip.a,1454,0,0,4992,1454,1454,4992
..\..\components\ql-kernel\libs\libql_at.a,52366,13476,1215,2165,65842,67057,3380
..\..\components\ql-kernel\libs\libql_at_table.a,9408,11960,0,3824,21368,21368,3824
..\..\components\ql-kernel\libs\libql_aud_resample.a,1232,9216,0,0,10448,10448,0
..\..\components\ql-kernel\libs\libql_bsp.a,2870,538,17,9,3408,3425,26
..\..\components\ql-kernel\libs\libql_curl.a,99990,26260,32,217,126250,126282,249
..\..\components\ql-kernel\libs\libql_ext_codec.a,356,70,0,16,426,426,16
..\..\components\ql-kernel\libs\libql_file.a,5870,684,16,0,6554,6570,16
..\..\components\ql-kernel\libs\libql_ftp.a,13684,1920,0,0,15604,15604,0
..\..\components\ql-kernel\libs\libql_hd_gnss_aux.a,8558,4920,300,1016,13478,13778,1316
..\..\components\ql-kernel\libs\libql_http.a,19000,2617,105,13,21617,21722,118
..\..\components\ql-kernel\libs\libql_lbs.a,6094,653,0,16,6747,6747,16
..\..\components\ql-kernel\libs\libql_mqtt.a,14882,1484,0,16,16366,16366,16
..\..\components\ql-kernel\libs\libql_net.a,11680,1747,0,126,13427,13427,126
..\..\components\ql-kernel\libs\libql_ntp.a,4176,710,0,16,4886,4886,16
..\..\components\ql-kernel\libs\libql_ping.a,3608,668,0,12,4276,4276,12
..\..\components\ql-kernel\libs\libql_power.a,3342,941,220,70,4283,4503,290
..\..\components\ql-kernel\libs\libql_tlv.a,412,0,0,0,412,412,0
..\..\components\ql-kernel\libs\libql_urc.a,2092,0,0,2,2092,2092,2
..\..\components\ql-kernel\libs\libql_utils.a,3346,307,108,0,3653,3761,108
..\..\components\ql-kernel\libs\libquectel.a,460,217,4,4,677,681,8
..\..\prebuilts\win32\gcc-arm-none-eabi\gcc-arm-none-eabi-9.2.1\lib\gcc\arm-none-eabi\9.2.1\thumb\v7+fp\hard\libgcc.a,2844,0,0,0,2844,2844,0
components\modem_lte\libmodem_lte.a,1264,157,0,96,1421,1421,96
lib\cvs.a,44436,0,26692,684,44436,71128,27376
lib\cvsrecd.a,8616,0,36588,40,8616,45204,36628
lib\libapploader.a,1916,6901,4,16,8817,8821,20
libappstart.a,1950,303,0,9,2253,2253,9
lib\libatr.a,10602,6507,0,9788,17109,17109,9788
lib\libats.a,107978,13394,179,11071,121372,121551,11250
lib\libaudio_core.a,132644,90547,0,4,223191,223191,4
lib\libaudio_media.a,358,0,0,0,358,358,0
lib\libbdev.a,228,0,0,0,228,228,0
lib\libbdev_core.a,2914,20,0,0,2934,2934,0
lib\libboot_ex_spi6nor.a,1322,314,162,6,1636,1798,168
lib\libcalclib.a,2706,8,0,352,2714,2714,352
lib\libcalclib_crc.a,252,1280,0,0,1532,1532,0
lib\libcfw.a,2144,45,0,4,2189,2189,4
lib\libcfw_core_modem_lte_volte_lib.a,316076,49433,3594,18612,365509,369103,22206
lib\libcrypto.a,15690,631,0,100,16321,16321,100
lib\libdiag.a,7864,188,0,6780,8052,8052,6780
lib\libdriver_camera.a,10098,2825,497,95,12923,13420,592
lib\libdriver_charge_adc.a,5446,161,71,270,5607,5678,341
lib\libdriver_lcd.a,4400,563,86,3,4963,5049,89
lib\libdrv_host.a,1476,0,0,0,1476,1476,0
lib\libefuse_secure.a,970,0,2,4,970,972,6
lib\libfatfs.a,7248,829,1,555,8077,8078,556
lib\libfs.a,5498,148,192,136,5646,5838,328
lib\libfs_partinfo.a,368,0,0,0,368,368,0
lib\libfsmount.a,1436,38,1,8,1474,1475,9
lib\libfupdate_core.a,3052,72,16,0,3124,3140,16
lib\libfupdate_security_app.a,172,16,0,1,188,188,1
lib\libhal_prop.a,3140,1233,1660,1480,4373,6033,3140
lib\libids_core.a,3558,665,0,92,4223,4223,92
lib\libimshttp.a,5792,327,72,16,6119,6191,88
lib\libimshttp_core.a,87904,6428,156,917,94332,94488,1073
lib\libipsec_core.a,45528,25145,308,11802,70673,70981,12110
lib\libjson.a,4154,28,12,8,4182,4194,20
lib\liblcdpanel.a,2300,110,12,0,2410,2422,12
lib\liblwip.a,104326,15880,34,7252,120206,120240,7286
lib\liblz4.a,3690,64,0,0,3754,3754,0
lib\libmal.a,1288,41,0,8,1329,1329,8
lib\libmatrix_ssl_core.a,5036,30,0,1,5066,5066,1
lib\libmbedtls.a,158540,54326,95,9386,212866,212961,9481
lib\libml.a,1648,16452,168,4,18100,18268,172
lib\libnanopb.a,5100,554,0,0,5654,5654,0
lib\libnet.a,15612,369,44,12992,15981,16025,13036
lib\libnvm.a,4292,1549,0,3,5841,5841,3
lib\liboql_core_drv.a,248,1920,320,1,2168,2488,321
lib\liboql_core_virt_func.a,532,0,0,21,532,532,21
lib\libosi_core.a,7664,96,0,125,7760,7760,125
lib\libosi_lib.a,9272,248,0,205597,9520,9520,205597
lib\libql_codec_cfg.a,1264,382,772,0,1646,2418,772
lib\libql_kernel_cfg.a,11468,193,6,14604,11661,11667,14610
lib\libql_open_at.a,240,554,0,0,794,794,0
lib\libql_spi4_nor_prop.a,24,0,200,0,24,224,200
lib\librpc_core_modem_lte_lib.a,3568,2613,1,12,6181,6182,13
lib\libsci_netif_core.a,2546,29,0,8,2575,2575,8
lib\libservice.a,7152,504,8,85,7656,7664,93
lib\libsffs_core.a,24216,832,12,0,25048,25060,12
lib\libsimlock_core.a,20422,1684,5393,8798,22106,27499,14191
lib\libvsi_amrnb.a,70640,33517,0,0,104157,104157,0
lib\libboot_ex_ql_pin.a,0,0,248,1,0,248,249
..\..\components\ql-kernel\libs\libql_fatfs_ex.a,0,0,0,8,0,0,8
